|DP|DPNOM|DPMP|MPIO|AÑO|ÁREA GEOGRÁFICA|Total population_x|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|Total population_y|Id Empresa|Empresa|Nombre del departamento|Nombre del municipio|Nombre sitio disposición final|NUSD|Fecha inicio operaciones|Tipo disposición final|Longitud|Latitud|Propietario predio del SDF|Entidad otorgó autorización|Tipo autorización ambiental|No. Res. de la autorización|Fecha Res. de la Autorización|Fecha terminación vigencia Res|Fecha terminación vida útil|fecha hoy|años_vida|Capacidad de diseño|Entidad otorgó permiso vertimi|No.Res. permiso vertimiento|Fecha Res. permiso vertimiento|Fecha term permiso vertimiento|Fecha aplicación metodología|Fecha de certificación
10|18.0|CAQUETA|18001.0|FLORENCIA|2021|Centros Poblados y Rural Disperso|20.508|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|3328|SERVICIOS INTEGRALES EFECTIVOS S.A.  E.S.P.|CAQUETA|FLORENCIA|REGIONAL LA ESPERANZA|701118001|2009-11-02|Relleno sanitario|-753639400|13230340.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|6|2011-03-17|2059-03-01|2059-03-01|2022-06-25|36.0|2065289.0|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|6|2011-03-17|2079-03-01|2016-04-01|2022-02-28
11|18.0|CAQUETA|18001.0|FLORENCIA|2021|Total|174.839|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|3328|SERVICIOS INTEGRALES EFECTIVOS S.A.  E.S.P.|CAQUETA|FLORENCIA|REGIONAL LA ESPERANZA|701118001|2009-11-02|Relleno sanitario|-753639400|13230340.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|6|2011-03-17|2059-03-01|2059-03-01|2022-06-25|36.0|2065289.0|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|6|2011-03-17|2079-03-01|2016-04-01|2022-02-28
12|18.0|CAQUETA|18001.0|FLORENCIA|2021|Cabecera Municipal|154.331|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|36097|SANEAMIENTO Y MEJORAMIENTO AMBIENTAL S.A.S ESP |CAQUETA|FLORENCIA|PARQUE AMBIENTAL TAYARU|952018001|2016-11-11|Relleno sanitario|-756077561|15449170.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|1472|2015-10-21|2048-11-10|2048-11-10|2022-06-25|26.0|1.552504e+16|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|1472|2015-10-21|2048-11-10|2048-01-10|2018-06-19
13|18.0|CAQUETA|18001.0|FLORENCIA|2021|Centros Poblados y Rural Disperso|20.508|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|36097|SANEAMIENTO Y MEJORAMIENTO AMBIENTAL S.A.S ESP |CAQUETA|FLORENCIA|PARQUE AMBIENTAL TAYARU|952018001|2016-11-11|Relleno sanitario|-756077561|15449170.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|1472|2015-10-21|2048-11-10|2048-11-10|2022-06-25|26.0|1.552504e+16|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|1472|2015-10-21|2048-11-10|2048-01-10|2018-06-19
14|18.0|CAQUETA|18001.0|FLORENCIA|2021|Total|174.839|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|36097|SANEAMIENTO Y MEJORAMIENTO AMBIENTAL S.A.S ESP |CAQUETA|FLORENCIA|PARQUE AMBIENTAL TAYARU|952018001|2016-11-11|Relleno sanitario|-756077561|15449170.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|1472|2015-10-21|2048-11-10|2048-11-10|2022-06-25|26.0|1.552504e+16|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|1472|2015-10-21|2048-11-10|2048-01-10|2018-06-19
15|||||2021|||BOLIVAR-TURBANA|||0.0||20430|INGEAMBIENTE DEL CARIBE S.A. E.S.P.|BOLIVAR|TURBANA|RELLENO SANITARIO REGIONAL LA PAZ|1087013838|2000-12-15|Relleno sanitario|-754782120|102373650.0|"31|OTRA PERSONA NATURAL O JURIDICA"|"48|CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE - CARDIQUE"|Licencia ambiental|1352|2010-11-05|2020-11-05|2032-11-05|2022-06-25|10.0|1191191.0|"48|CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE - CARDIQUE"|1352|2010-11-05|2032-11-05|2016-01-01|2018-11-30
16|||||2021|||ANTIOQUIA-DONMATIAS|||0.0||111|EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.|ANTIOQUIA|DONMATIAS|RELLENO SANITARIO LA PRADERA|720105237|2003-06-03|Relleno sanitario|-752550350|65162710.0|"28|EMPRESA OPERADORA"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|5288|2002-07-03|2027-09-12|2027-09-12|2022-06-25|5.0|13452293.66|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|10346_2013|2013-09-13|2015-04-12|2016-04-01|2017-09-29
17|68.0|SANTANDER|68679.0|SAN GIL|2021|Cabecera Municipal|52.569|SANTANDER-SAN GIL|14236.940000000002|1674.3500000000001|0.10523031130725415|724104.0|722|ACUASAN E.I.C.E  E.S.P|SANTANDER|SAN GIL|RELLENO SANITARIO EL CUCHARO(ACUASAN)|380168679|2005-06-30|Relleno sanitario|-731333330|65555550.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|588|2015-08-27|2025-08-26|2025-08-26|2022-06-25|3.0|492000.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|588|2015-08-27|2025-08-26|2016-09-01|2017-01-02
18|68.0|SANTANDER|68679.0|SAN GIL|2021|Centros Poblados y Rural Disperso|7.773|SANTANDER-SAN GIL|14236.940000000002|1674.3500000000001|0.10523031130725415|724104.0|722|ACUASAN E.I.C.E  E.S.P|SANTANDER|SAN GIL|RELLENO SANITARIO EL CUCHARO(ACUASAN)|380168679|2005-06-30|Relleno sanitario|-731333330|65555550.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|588|2015-08-27|2025-08-26|2025-08-26|2022-06-25|3.0|492000.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|588|2015-08-27|2025-08-26|2016-09-01|2017-01-02
19|68.0|SANTANDER|68679.0|SAN GIL|2021|Total|60.342|SANTANDER-SAN GIL|14236.940000000002|1674.3500000000001|0.10523031130725415|724104.0|722|ACUASAN E.I.C.E  E.S.P|SANTANDER|SAN GIL|RELLENO SANITARIO EL CUCHARO(ACUASAN)|380168679|2005-06-30|Relleno sanitario|-731333330|65555550.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|588|2015-08-27|2025-08-26|2025-08-26|2022-06-25|3.0|492000.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|588|2015-08-27|2025-08-26|2016-09-01|2017-01-02
20|88.0|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|88001.0|SAN ANDRES|2021|Cabecera Municipal|42.404|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|21762.539999999997|63.1|0.002891095060671761|699792.0|55688|PROVIDENCE AND KETTLINA UTILITIES COMPANY SAS ESP|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|PROVIDENCIA|BLUE LIZARD|2889088564|2021-05-28|Relleno sanitario|-810000000|130000000.0|"29|MUNICIPIO"|"75|NO CUENTA CON PERMISO AMBIENTAL"||||||2022-06-25||23086.0|"92|NO CUENTA CON PERMISO DE VERTIMIENTO DE LIXIVIADOS"||||2022-05-01|2022-05-25
21|88.0|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|88001.0|SAN ANDRES|2021|Centros Poblados y Rural Disperso|15.912|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|21762.539999999997|63.1|0.002891095060671761|699792.0|55688|PROVIDENCE AND KETTLINA UTILITIES COMPANY SAS ESP|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|PROVIDENCIA|BLUE LIZARD|2889088564|2021-05-28|Relleno sanitario|-810000000|130000000.0|"29|MUNICIPIO"|"75|NO CUENTA CON PERMISO AMBIENTAL"||||||2022-06-25||23086.0|"92|NO CUENTA CON PERMISO DE VERTIMIENTO DE LIXIVIADOS"||||2022-05-01|2022-05-25
22|88.0|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|88001.0|SAN ANDRES|2021|Total|58.316|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|21762.539999999997|63.1|0.002891095060671761|699792.0|55688|PROVIDENCE AND KETTLINA UTILITIES COMPANY SAS ESP|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|PROVIDENCIA|BLUE LIZARD|2889088564|2021-05-28|Relleno sanitario|-810000000|130000000.0|"29|MUNICIPIO"|"75|NO CUENTA CON PERMISO AMBIENTAL"||||||2022-06-25||23086.0|"92|NO CUENTA CON PERMISO DE VERTIMIENTO DE LIXIVIADOS"||||2022-05-01|2022-05-25
23|68.0|SANTANDER|68081.0|BARRANCABERMEJA|2021|Cabecera Municipal|186.137|SANTANDER-BARRANCABERMEJA|56438.45999999999|7654.9800000000005|0.11943468785573065|2556732.0|20658|EMPRESA ASOCIATIVA DE TRABAJO MUCAF E.S.P. |SANTANDER|BARRANCABERMEJA|YERBABUENA|1170968081|2015-02-23|Relleno sanitario|-737773550|70607674.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|1121|2014-11-27|2044-11-27|2044-11-27|2022-06-25|22.0|2170.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|1121|2014-11-27|2044-11-27|2016-12-01|2019-03-06
24|68.0|SANTANDER|68081.0|BARRANCABERMEJA|2021|Centros Poblados y Rural Disperso|26.924|SANTANDER-BARRANCABERMEJA|56438.45999999999|7654.9800000000005|0.11943468785573065|2556732.0|20658|EMPRESA ASOCIATIVA DE TRABAJO MUCAF E.S.P. |SANTANDER|BARRANCABERMEJA|YERBABUENA|1170968081|2015-02-23|Relleno sanitario|-737773550|70607674.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|1121|2014-11-27|2044-11-27|2044-11-27|2022-06-25|22.0|2170.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|1121|2014-11-27|2044-11-27|2016-12-01|2019-03-06
25|68.0|SANTANDER|68081.0|BARRANCABERMEJA|2021|Total|213.061|SANTANDER-BARRANCABERMEJA|56438.45999999999|7654.9800000000005|0.11943468785573065|2556732.0|20658|EMPRESA ASOCIATIVA DE TRABAJO MUCAF E.S.P. |SANTANDER|BARRANCABERMEJA|YERBABUENA|1170968081|2015-02-23|Relleno sanitario|-737773550|70607674.0|"28|EMPRESA OPERADORA"|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|Licencia ambiental|1121|2014-11-27|2044-11-27|2044-11-27|2022-06-25|22.0|2170.0|"55|CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER - CAS"|1121|2014-11-27|2044-11-27|2016-12-01|2019-03-06
26|19.0|CAUCA|19001.0|POPAYAN|2021|Cabecera Municipal|269.271|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|25659|URBASER POPAYAN S.A. E.S.P.|CAUCA|POPAYAN|RELLENO SANITARIO REGIONAL LOS PICACHOS|388119001|2014-09-13|Relleno sanitario|-767511368|25083178.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-12-31|2044-09-05|2022-06-25|22.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|7693|2015-08-26|2044-09-05|2016-04-01|2017-01-19
27|19.0|CAUCA|19001.0|POPAYAN|2021|Centros Poblados y Rural Disperso|58.868|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|25659|URBASER POPAYAN S.A. E.S.P.|CAUCA|POPAYAN|RELLENO SANITARIO REGIONAL LOS PICACHOS|388119001|2014-09-13|Relleno sanitario|-767511368|25083178.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-12-31|2044-09-05|2022-06-25|22.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|7693|2015-08-26|2044-09-05|2016-04-01|2017-01-19
28|19.0|CAUCA|19001.0|POPAYAN|2021|Total|328.139|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|25659|URBASER POPAYAN S.A. E.S.P.|CAUCA|POPAYAN|RELLENO SANITARIO REGIONAL LOS PICACHOS|388119001|2014-09-13|Relleno sanitario|-767511368|25083178.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-12-31|2044-09-05|2022-06-25|22.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|7693|2015-08-26|2044-09-05|2016-04-01|2017-01-19
29|19.0|CAUCA|19001.0|POPAYAN|2021|Cabecera Municipal|269.271|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|40017|ADMINISTRACIÓN PUBLICA COOPERATIVA CORAZÓN DEL MACIZO|CAUCA|POPAYAN|RELLENO LOS PICACHOS|2887419001|2014-01-08|Relleno sanitario|-767512660|25049200.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-03-28|2043-03-28|2022-06-25|20.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|11244|2017-07-12|2027-07-12|2020-10-02|2022-05-24
30|19.0|CAUCA|19001.0|POPAYAN|2021|Centros Poblados y Rural Disperso|58.868|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|40017|ADMINISTRACIÓN PUBLICA COOPERATIVA CORAZÓN DEL MACIZO|CAUCA|POPAYAN|RELLENO LOS PICACHOS|2887419001|2014-01-08|Relleno sanitario|-767512660|25049200.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-03-28|2043-03-28|2022-06-25|20.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|11244|2017-07-12|2027-07-12|2020-10-02|2022-05-24
31|19.0|CAUCA|19001.0|POPAYAN|2021|Total|328.139|CAUCA-POPAYAN|91339.07999999997|2972.61|0.03151899833414077|3937668.0|40017|ADMINISTRACIÓN PUBLICA COOPERATIVA CORAZÓN DEL MACIZO|CAUCA|POPAYAN|RELLENO LOS PICACHOS|2887419001|2014-01-08|Relleno sanitario|-767512660|25049200.0|"28|EMPRESA OPERADORA"|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|Licencia ambiental|5031|2014-03-28|2043-03-28|2043-03-28|2022-06-25|20.0|2654776.0|"60|CORPORACIÓN AUTÓNOMA REGIONAL DEL CAUCA ¿ CRC"|11244|2017-07-12|2027-07-12|2020-10-02|2022-05-24
32|||||2021|||CASANARE-AGUAZUL|||0.0||639|EMPRESA DE SERVICIOS PUBLICOS DE AGUAZUL S.A. E.S.P.  |CASANARE|AGUAZUL|PLANTA DE MANEJO INTEGRAL DE RESIDUOS SOLIDOS DE AGUAZUL|953585010|2017-11-01|Relleno sanitario|-725705222|51570778.0|"29|MUNICIPIO"|"62|CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA ¿ CORPORINOQUIA"|Licencia ambiental|200-41.08-1507|2008-12-19|2038-12-19|2068-12-19|2022-06-25|46.0|107.14|"62|CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA ¿ CORPORINOQUIA"|200-41.08-1507|2008-12-19|2038-12-19|2017-11-01|2018-06-20
33|||||2021|||CASANARE-AGUAZUL|||0.0||20341|INGENIERIA, MEDICIONES, EMISIONES Y CONTROLES SA|CASANARE|AGUAZUL|CERES|2607085010|2011-08-01|Relleno sanitario|-724931360|51220000.0|"28|EMPRESA OPERADORA"|"62|CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA ¿ CORPORINOQUIA"|Licencia ambiental|15071254|2007-12-20|2027-12-19|2027-12-19|2022-06-25|5.0|146000.0|"62|CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUÍA ¿ CORPORINOQUIA"|15071254|2007-12-20|2027-12-19|2027-12-19|2021-12-07
